unit,year,allocation
Australia,1750,Other (1.00)
Australia,1760,Other (1.00)
Australia,1770,Other (1.00)
Australia,1780,British Empire (1.00)
Australia,1790,British Empire (1.00)
Australia,1800,British Empire (1.00)
Australia,1810,British Empire (1.00)
Australia,1820,British Empire (1.00)
Australia,1830,British Empire (1.00)
Australia,1840,British Empire (1.00)
Australia,1850,British Empire (1.00)
Australia,1860,British Empire (1.00)
Australia,1870,British Empire (1.00)
Australia,1880,British Empire (1.00)
Australia,1890,British Empire (1.00)
Australia,1900,British Empire (1.00)
Australia,1910,British Empire (1.00)
Australia,1920,British Empire (1.00)
Australia,1930,British Empire (1.00)
Australia,1940,British Empire (1.00)
Australia,1950,NATO + Aligned (1.00)
Australia,1960,NATO + Aligned (1.00)
Australia,1970,NATO + Aligned (1.00)
Australia,1980,NATO + Aligned (1.00)
Australia,1990,NATO + Aligned (1.00)
Australia,2000,NATO + Aligned (1.00)
Australia,2010,NATO + Aligned (1.00)
Australia,2020,NATO + Aligned (1.00)
Canada,1750,French Empire (1.00)
Canada,1760,French Empire (1.00)
Canada,1770,British Empire (1.00)
Canada,1780,British Empire (1.00)
Canada,1790,British Empire (1.00)
Canada,1800,British Empire (1.00)
Canada,1810,British Empire (1.00)
Canada,1820,British Empire (1.00)
Canada,1830,British Empire (1.00)
Canada,1840,British Empire (1.00)
Canada,1850,British Empire (1.00)
Canada,1860,British Empire (1.00)
Canada,1870,British Empire (1.00)
Canada,1880,British Empire (1.00)
Canada,1890,British Empire (1.00)
Canada,1900,British Empire (1.00)
Canada,1910,British Empire (1.00)
Canada,1920,British Empire (1.00)
Canada,1930,British Empire (1.00)
Canada,1940,British Empire (1.00)
Canada,1950,NATO + Aligned (1.00)
Canada,1960,NATO + Aligned (1.00)
Canada,1970,NATO + Aligned (1.00)
Canada,1980,NATO + Aligned (1.00)
Canada,1990,NATO + Aligned (1.00)
Canada,2000,NATO + Aligned (1.00)
Canada,2010,NATO + Aligned (1.00)
Canada,2020,NATO + Aligned (1.00)
France,1750,French Empire (1.00)
France,1760,French Empire (1.00)
France,1770,French Empire (1.00)
France,1780,French Empire (1.00)
France,1790,French Empire (1.00)
France,1800,French Empire (1.00)
France,1810,French Empire (1.00)
France,1820,French Empire (1.00)
France,1830,French Empire (1.00)
France,1840,French Empire (1.00)
France,1850,French Empire (1.00)
France,1860,French Empire (1.00)
France,1870,French Empire (1.00)
France,1880,French Empire (1.00)
France,1890,French Empire (1.00)
France,1900,French Empire (1.00)
France,1910,French Empire (1.00)
France,1920,French Empire (1.00)
France,1930,French Empire (1.00)
France,1940,French Empire (1.00)
France,1950,NATO + Aligned (1.00)
France,1960,NATO + Aligned (1.00)
France,1970,NATO + Aligned (1.00)
France,1980,NATO + Aligned (1.00)
France,1990,NATO + Aligned (1.00)
France,2000,NATO + Aligned (1.00)
France,2010,NATO + Aligned (1.00)
France,2020,NATO + Aligned (1.00)
Germany,1750,Other (1.00)
Germany,1760,Other (1.00)
Germany,1770,Other (1.00)
Germany,1780,Other (1.00)
Germany,1790,Other (1.00)
Germany,1800,Other (1.00)
Germany,1810,Other (1.00)
Germany,1820,Other (1.00)
Germany,1830,Other (1.00)
Germany,1840,Other (1.00)
Germany,1850,Other (1.00)
Germany,1860,Other (1.00)
Germany,1870,Other (1.00)
Germany,1880,Other (1.00)
Germany,1890,Other (1.00)
Germany,1900,Other (1.00)
Germany,1910,Other (1.00)
Germany,1920,Other (1.00)
Germany,1930,Other (1.00)
Germany,1940,Other (1.00)
Germany,1950,NATO + Aligned (1.00)
Germany,1960,NATO + Aligned (1.00)
Germany,1970,NATO + Aligned (1.00)
Germany,1980,NATO + Aligned (1.00)
Germany,1990,NATO + Aligned (1.00)
Germany,2000,NATO + Aligned (1.00)
Germany,2010,NATO + Aligned (1.00)
Germany,2020,NATO + Aligned (1.00)
India,1750,British Empire (0.00) / Independent India (1.00)
India,1760,British Empire (0.09) / Independent India (0.91)
India,1770,British Empire (0.18) / Independent India (0.82)
India,1780,British Empire (0.27) / Independent India (0.73)
India,1790,British Empire (0.36) / Independent India (0.64)
India,1800,British Empire (0.45) / Independent India (0.55)
India,1810,British Empire (0.55) / Independent India (0.45)
India,1820,British Empire (0.64) / Independent India (0.36)
India,1830,British Empire (0.73) / Independent India (0.27)
India,1840,British Empire (0.82) / Independent India (0.18)
India,1850,British Empire (0.91) / Independent India (0.09)
India,1860,British Empire (1.00) / Independent India (0.00)
India,1870,British Empire (1.00) / Independent India (0.00)
India,1880,British Empire (1.00) / Independent India (0.00)
India,1890,British Empire (1.00) / Independent India (0.00)
India,1900,British Empire (1.00) / Independent India (0.00)
India,1910,British Empire (1.00) / Independent India (0.00)
India,1920,British Empire (1.00) / Independent India (0.00)
India,1930,British Empire (1.00) / Independent India (0.00)
India,1940,British Empire (1.00) / Independent India (0.00)
India,1950,India (1.00)
India,1960,India (1.00)
India,1970,India (1.00)
India,1980,India (1.00)
India,1990,India (1.00)
India,2000,India (1.00)
India,2010,India (1.00)
India,2020,India (1.00)
Japan,1750,Japanese Empire (1.00)
Japan,1760,Japanese Empire (1.00)
Japan,1770,Japanese Empire (1.00)
Japan,1780,Japanese Empire (1.00)
Japan,1790,Japanese Empire (1.00)
Japan,1800,Japanese Empire (1.00)
Japan,1810,Japanese Empire (1.00)
Japan,1820,Japanese Empire (1.00)
Japan,1830,Japanese Empire (1.00)
Japan,1840,Japanese Empire (1.00)
Japan,1850,Japanese Empire (1.00)
Japan,1860,Japanese Empire (1.00)
Japan,1870,Japanese Empire (1.00)
Japan,1880,Japanese Empire (1.00)
Japan,1890,Japanese Empire (1.00)
Japan,1900,Japanese Empire (1.00)
Japan,1910,Japanese Empire (1.00)
Japan,1920,Japanese Empire (1.00)
Japan,1930,Japanese Empire (1.00)
Japan,1940,Japanese Empire (1.00)
Japan,1950,NATO + Aligned (1.00)
Japan,1960,NATO + Aligned (1.00)
Japan,1970,NATO + Aligned (1.00)
Japan,1980,NATO + Aligned (1.00)
Japan,1990,NATO + Aligned (1.00)
Japan,2000,NATO + Aligned (1.00)
Japan,2010,NATO + Aligned (1.00)
Japan,2020,NATO + Aligned (1.00)
New Zealand,1750,Other (1.00)
New Zealand,1760,Other (1.00)
New Zealand,1770,Other (1.00)
New Zealand,1780,Other (1.00)
New Zealand,1790,Other (1.00)
New Zealand,1800,Other (1.00)
New Zealand,1810,Other (1.00)
New Zealand,1820,Other (1.00)
New Zealand,1830,Other (1.00)
New Zealand,1840,British Empire (1.00)
New Zealand,1850,British Empire (1.00)
New Zealand,1860,British Empire (1.00)
New Zealand,1870,British Empire (1.00)
New Zealand,1880,British Empire (1.00)
New Zealand,1890,British Empire (1.00)
New Zealand,1900,British Empire (1.00)
New Zealand,1910,British Empire (1.00)
New Zealand,1920,British Empire (1.00)
New Zealand,1930,British Empire (1.00)
New Zealand,1940,British Empire (1.00)
New Zealand,1950,NATO + Aligned (1.00)
New Zealand,1960,NATO + Aligned (1.00)
New Zealand,1970,NATO + Aligned (1.00)
New Zealand,1980,NATO + Aligned (1.00)
New Zealand,1990,NATO + Aligned (1.00)
New Zealand,2000,NATO + Aligned (1.00)
New Zealand,2010,NATO + Aligned (1.00)
New Zealand,2020,NATO + Aligned (1.00)
Russia,1750,Other (1.00)
Russia,1760,Other (1.00)
Russia,1770,Other (1.00)
Russia,1780,Other (1.00)
Russia,1790,Other (1.00)
Russia,1800,Other (1.00)
Russia,1810,Other (1.00)
Russia,1820,Other (1.00)
Russia,1830,Other (1.00)
Russia,1840,Other (1.00)
Russia,1850,Other (1.00)
Russia,1860,Other (1.00)
Russia,1870,Other (1.00)
Russia,1880,Other (1.00)
Russia,1890,Other (1.00)
Russia,1900,Other (1.00)
Russia,1910,Other (1.00)
Russia,1920,USSR + Aligned (1.00)
Russia,1930,USSR + Aligned (1.00)
Russia,1940,USSR + Aligned (1.00)
Russia,1950,USSR + Aligned (1.00)
Russia,1960,USSR + Aligned (1.00)
Russia,1970,USSR + Aligned (1.00)
Russia,1980,USSR + Aligned (1.00)
Russia,1990,USSR + Aligned (1.00)
Russia,2000,Other (1.00)
Russia,2010,Other (1.00)
Russia,2020,Other (1.00)
Spain,1750,Spanish Empire (1.00)
Spain,1760,Spanish Empire (1.00)
Spain,1770,Spanish Empire (1.00)
Spain,1780,Spanish Empire (1.00)
Spain,1790,Spanish Empire (1.00)
Spain,1800,Spanish Empire (1.00)
Spain,1810,Spanish Empire (1.00)
Spain,1820,Spanish Empire (1.00)
Spain,1830,Spanish Empire (1.00)
Spain,1840,Spanish Empire (1.00)
Spain,1850,Spanish Empire (1.00)
Spain,1860,Spanish Empire (1.00)
